"Facility Name","Facility ID","State","Measure Name","Number of Discharges","Footnote","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
SIBLEY MEMORIAL HOSPITAL,090005,DC,READM-30-HF-HRRP,333,,0.9581,17.0988,17.8475,54,07/01/2020,06/30/2023
SIBLEY MEMORIAL HOSPITAL,090005,DC,READM-30-COPD-HRRP,N/A,,0.9818,17.2845,17.6053,Too Few to Report,07/01/2020,06/30/2023
SIBLEY MEMORIAL HOSPITAL,090005,DC,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
SIBLEY MEMORIAL HOSPITAL,090005,DC,READM-30-AMI-HRRP,N/A,,1.0298,14.9598,14.5265,Too Few to Report,07/01/2020,06/30/2023
UNITED MEDICAL CENTER,090008,DC,READM-30-PN-HRRP,77,,0.9814,18.5981,18.9501,13,07/01/2020,06/30/2023
UNITED MEDICAL CENTER,090008,DC,READM-30-HIP-KNEE-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
UNITED MEDICAL CENTER,090008,DC,READM-30-HF-HRRP,132,,1.0083,21.5133,21.3357,29,07/01/2020,06/30/2023
UNITED MEDICAL CENTER,090008,DC,READM-30-COPD-HRRP,N/A,,0.9555,18.0609,18.9016,Too Few to Report,07/01/2020,06/30/2023
UNITED MEDICAL CENTER,090008,DC,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
UNITED MEDICAL CENTER,090008,DC,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MEDSTAR WASHINGTON HOSPITAL CENTER,090011,DC,READM-30-PN-HRRP,396,,1.0956,19.8367,18.1051,85,07/01/2020,06/30/2023
MEDSTAR WASHINGTON HOSPITAL CENTER,090011,DC,READM-30-HIP-KNEE-HRRP,N/A,,1.0629,5.8370,5.4916,Too Few to Report,07/01/2020,06/30/2023
MEDSTAR WASHINGTON HOSPITAL CENTER,090011,DC,READM-30-HF-HRRP,1348,,0.9064,18.9118,20.8648,248,07/01/2020,06/30/2023
MEDSTAR WASHINGTON HOSPITAL CENTER,090011,DC,READM-30-COPD-HRRP,176,,1.0391,21.8752,21.0514,41,07/01/2020,06/30/2023
MEDSTAR WASHINGTON HOSPITAL CENTER,090011,DC,READM-30-CABG-HRRP,530,,0.8818,10.4116,11.8072,51,07/01/2020,06/30/2023
MEDSTAR WASHINGTON HOSPITAL CENTER,090011,DC,READM-30-AMI-HRRP,800,,1.0430,15.7421,15.0934,128,07/01/2020,06/30/2023
SHANDS JACKSONVILLE,100001,FL,READM-30-PN-HRRP,240,,1.0077,18.9435,18.7994,46,07/01/2020,06/30/2023
SHANDS JACKSONVILLE,100001,FL,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
SHANDS JACKSONVILLE,100001,FL,READM-30-HF-HRRP,430,,0.9639,20.3806,21.1444,85,07/01/2020,06/30/2023
SHANDS JACKSONVILLE,100001,FL,READM-30-COPD-HRRP,119,,1.1418,24.4220,21.3887,38,07/01/2020,06/30/2023
SHANDS JACKSONVILLE,100001,FL,READM-30-CABG-HRRP,N/A,,0.9958,10.9852,11.0320,Too Few to Report,07/01/2020,06/30/2023
SHANDS JACKSONVILLE,100001,FL,READM-30-AMI-HRRP,144,,1.1169,15.7179,14.0729,28,07/01/2020,06/30/2023
BETHESDA  HOSPITAL INC,100002,FL,READM-30-PN-HRRP,737,,0.9386,15.0953,16.0824,107,07/01/2020,06/30/2023
BETHESDA  HOSPITAL INC,100002,FL,READM-30-HIP-KNEE-HRRP,N/A,,0.9941,7.3295,7.3729,Too Few to Report,07/01/2020,06/30/2023
BETHESDA  HOSPITAL INC,100002,FL,READM-30-HF-HRRP,603,,1.0656,21.7988,20.4568,136,07/01/2020,06/30/2023
BETHESDA  HOSPITAL INC,100002,FL,READM-30-COPD-HRRP,242,,1.0657,19.4527,18.2540,51,07/01/2020,06/30/2023
BETHESDA  HOSPITAL INC,100002,FL,READM-30-CABG-HRRP,N/A,,1.0171,12.3577,12.1505,Too Few to Report,07/01/2020,06/30/2023
BETHESDA  HOSPITAL INC,100002,FL,READM-30-AMI-HRRP,269,,1.0289,14.3557,13.9526,40,07/01/2020,06/30/2023
ORLANDO HEALTH,100006,FL,READM-30-PN-HRRP,808,,1.0074,17.2638,17.1372,140,07/01/2020,06/30/2023
ORLANDO HEALTH,100006,FL,READM-30-HIP-KNEE-HRRP,1102,,1.1900,5.9661,5.0134,68,07/01/2020,06/30/2023
ORLANDO HEALTH,100006,FL,READM-30-HF-HRRP,1433,,1.1181,22.3287,19.9706,328,07/01/2020,06/30/2023
ORLANDO HEALTH,100006,FL,READM-30-COPD-HRRP,334,,1.1349,21.2786,18.7489,79,07/01/2020,06/30/2023
ORLANDO HEALTH,100006,FL,READM-30-CABG-HRRP,260,,0.9812,10.6252,10.8284,27,07/01/2020,06/30/2023
ORLANDO HEALTH,100006,FL,READM-30-AMI-HRRP,508,,1.0112,14.8536,14.6886,76,07/01/2020,06/30/2023
ADVENTHEALTH ORLANDO,100007,FL,READM-30-PN-HRRP,3258,,1.1283,18.9873,16.8275,627,07/01/2020,06/30/2023
ADVENTHEALTH ORLANDO,100007,FL,READM-30-HIP-KNEE-HRRP,465,,1.0235,5.0972,4.9802,24,07/01/2020,06/30/2023
ADVENTHEALTH ORLANDO,100007,FL,READM-30-HF-HRRP,3490,,1.2153,24.7192,20.3407,877,07/01/2020,06/30/2023
ADVENTHEALTH ORLANDO,100007,FL,READM-30-COPD-HRRP,702,,1.1017,19.7985,17.9713,145,07/01/2020,06/30/2023
ADVENTHEALTH ORLANDO,100007,FL,READM-30-CABG-HRRP,403,,1.3291,15.9351,11.9895,74,07/01/2020,06/30/2023
ADVENTHEALTH ORLANDO,100007,FL,READM-30-AMI-HRRP,824,,1.1932,17.0229,14.2666,149,07/01/2020,06/30/2023
BAPTIST HOSPITAL OF MIAMI,100008,FL,READM-30-PN-HRRP,605,,1.0561,17.7277,16.7854,111,07/01/2020,06/30/2023
BAPTIST HOSPITAL OF MIAMI,100008,FL,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
BAPTIST HOSPITAL OF MIAMI,100008,FL,READM-30-HF-HRRP,601,,1.0146,21.1250,20.8217,128,07/01/2020,06/30/2023
BAPTIST HOSPITAL OF MIAMI,100008,FL,READM-30-COPD-HRRP,124,,0.9945,19.6335,19.7413,24,07/01/2020,06/30/2023
BAPTIST HOSPITAL OF MIAMI,100008,FL,READM-30-CABG-HRRP,N/A,,0.9316,10.8409,11.6371,Too Few to Report,07/01/2020,06/30/2023
BAPTIST HOSPITAL OF MIAMI,100008,FL,READM-30-AMI-HRRP,174,,0.9752,14.5018,14.8706,24,07/01/2020,06/30/2023
LEE MEMORIAL HOSPITAL,100012,FL,READM-30-PN-HRRP,945,,1.0564,16.7491,15.8546,162,07/01/2020,06/30/2023
LEE MEMORIAL HOSPITAL,100012,FL,READM-30-HIP-KNEE-HRRP,178,,0.9736,6.3767,6.5496,11,07/01/2020,06/30/2023
LEE MEMORIAL HOSPITAL,100012,FL,READM-30-HF-HRRP,1332,,0.9834,19.2321,19.5560,255,07/01/2020,06/30/2023
LEE MEMORIAL HOSPITAL,100012,FL,READM-30-COPD-HRRP,307,,0.9932,19.6833,19.8173,60,07/01/2020,06/30/2023
LEE MEMORIAL HOSPITAL,100012,FL,READM-30-CABG-HRRP,290,,0.9624,9.7420,10.1228,27,07/01/2020,06/30/2023
LEE MEMORIAL HOSPITAL,100012,FL,READM-30-AMI-HRRP,734,,1.0489,12.9073,12.3055,97,07/01/2020,06/30/2023
ADVENTHEALTH NEW SMYRNA BEACH,100014,FL,READM-30-PN-HRRP,276,,0.9225,15.0047,16.2660,36,07/01/2020,06/30/2023
ADVENTHEALTH NEW SMYRNA BEACH,100014,FL,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ADVENTHEALTH NEW SMYRNA BEACH,100014,FL,READM-30-HF-HRRP,242,,0.9942,19.5920,19.7070,47,07/01/2020,06/30/2023
ADVENTHEALTH NEW SMYRNA BEACH,100014,FL,READM-30-COPD-HRRP,105,,1.0701,18.9163,17.6779,24,07/01/2020,06/30/2023
ADVENTHEALTH NEW SMYRNA BEACH,100014,FL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ADVENTHEALTH NEW SMYRNA BEACH,100014,FL,READM-30-AMI-HRRP,94,,1.0153,15.1646,14.9364,15,07/01/2020,06/30/2023
HALIFAX HEALTH MEDICAL CENTER,100017,FL,READM-30-PN-HRRP,420,,0.9490,15.1244,15.9377,60,07/01/2020,06/30/2023
HALIFAX HEALTH MEDICAL CENTER,100017,FL,READM-30-HIP-KNEE-HRRP,N/A,,0.8001,3.8254,4.7812,Too Few to Report,07/01/2020,06/30/2023
HALIFAX HEALTH MEDICAL CENTER,100017,FL,READM-30-HF-HRRP,292,,1.0184,20.1049,19.7411,60,07/01/2020,06/30/2023
HALIFAX HEALTH MEDICAL CENTER,100017,FL,READM-30-COPD-HRRP,157,,1.0383,19.5154,18.7951,33,07/01/2020,06/30/2023
HALIFAX HEALTH MEDICAL CENTER,100017,FL,READM-30-CABG-HRRP,82,,1.0947,12.1819,11.1278,13,07/01/2020,06/30/2023
HALIFAX HEALTH MEDICAL CENTER,100017,FL,READM-30-AMI-HRRP,175,,1.0074,12.9435,12.8481,23,07/01/2020,06/30/2023
NAPLES COMMUNITY HOSPITAL,100018,FL,READM-30-PN-HRRP,1485,,0.9842,15.0880,15.3298,223,07/01/2020,06/30/2023
NAPLES COMMUNITY HOSPITAL,100018,FL,READM-30-HIP-KNEE-HRRP,1469,,1.0930,5.0958,4.6623,76,07/01/2020,06/30/2023
NAPLES COMMUNITY HOSPITAL,100018,FL,READM-30-HF-HRRP,1652,,0.9634,18.3769,19.0750,301,07/01/2020,06/30/2023
NAPLES COMMUNITY HOSPITAL,100018,FL,READM-30-COPD-HRRP,330,,1.0202,17.8148,17.4617,60,07/01/2020,06/30/2023
NAPLES COMMUNITY HOSPITAL,100018,FL,READM-30-CABG-HRRP,235,,0.9760,10.9794,11.2496,25,07/01/2020,06/30/2023
NAPLES COMMUNITY HOSPITAL,100018,FL,READM-30-AMI-HRRP,565,,0.9682,13.1917,13.6247,73,07/01/2020,06/30/2023
HOLMES REGIONAL MEDICAL CENTER,100019,FL,READM-30-AMI-HRRP,331,,0.9621,13.5530,14.0869,43,07/01/2020,06/30/2023
HOLMES REGIONAL MEDICAL CENTER,100019,FL,READM-30-PN-HRRP,670,,0.7811,13.5153,17.3031,74,07/01/2020,06/30/2023
HOLMES REGIONAL MEDICAL CENTER,100019,FL,READM-30-HIP-KNEE-HRRP,N/A,,0.9276,5.9970,6.4648,Too Few to Report,07/01/2020,06/30/2023
HOLMES REGIONAL MEDICAL CENTER,100019,FL,READM-30-HF-HRRP,705,,0.8402,16.8920,20.1056,107,07/01/2020,06/30/2023
HOLMES REGIONAL MEDICAL CENTER,100019,FL,READM-30-COPD-HRRP,253,,0.8087,16.2523,20.0968,28,07/01/2020,06/30/2023
HOLMES REGIONAL MEDICAL CENTER,100019,FL,READM-30-CABG-HRRP,184,,0.9244,10.0933,10.9189,16,07/01/2020,06/30/2023
JACKSON HEALTH SYSTEM,100022,FL,READM-30-PN-HRRP,403,,0.9578,18.1201,18.9180,70,07/01/2020,06/30/2023
JACKSON HEALTH SYSTEM,100022,FL,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
JACKSON HEALTH SYSTEM,100022,FL,READM-30-HF-HRRP,384,,1.0263,22.6811,22.0991,89,07/01/2020,06/30/2023
JACKSON HEALTH SYSTEM,100022,FL,READM-30-COPD-HRRP,127,,1.0242,23.1726,22.6250,31,07/01/2020,06/30/2023
JACKSON HEALTH SYSTEM,100022,FL,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
JACKSON HEALTH SYSTEM,100022,FL,READM-30-AMI-HRRP,184,,0.9488,16.0976,16.9662,27,07/01/2020,06/30/2023
HCA FLORIDA CITRUS HOSPITAL,100023,FL,READM-30-PN-HRRP,378,,0.9306,15.5673,16.7276,54,07/01/2020,06/30/2023
HCA FLORIDA CITRUS HOSPITAL,100023,FL,READM-30-HIP-KNEE-HRRP,138,,1.3018,6.9347,5.3271,13,07/01/2020,06/30/2023
HCA FLORIDA CITRUS HOSPITAL,100023,FL,READM-30-HF-HRRP,626,,1.0109,20.4841,20.2635,129,07/01/2020,06/30/2023
HCA FLORIDA CITRUS HOSPITAL,100023,FL,READM-30-COPD-HRRP,93,,1.0009,17.1474,17.1325,16,07/01/2020,06/30/2023
HCA FLORIDA CITRUS HOSPITAL,100023,FL,READM-30-CABG-HRRP,151,,0.8830,10.6743,12.0885,12,07/01/2020,06/30/2023
HCA FLORIDA CITRUS HOSPITAL,100023,FL,READM-30-AMI-HRRP,293,,0.9288,13.1458,14.1540,35,07/01/2020,06/30/2023
SACRED HEART HOSPITAL,100025,FL,READM-30-PN-HRRP,684,,1.0363,18.2075,17.5704,127,07/01/2020,06/30/2023
SACRED HEART HOSPITAL,100025,FL,READM-30-HIP-KNEE-HRRP,N/A,,1.0920,7.9435,7.2745,Too Few to Report,07/01/2020,06/30/2023
SACRED HEART HOSPITAL,100025,FL,READM-30-HF-HRRP,567,,1.0701,22.9424,21.4394,135,07/01/2020,06/30/2023
SACRED HEART HOSPITAL,100025,FL,READM-30-COPD-HRRP,150,,1.0006,18.6422,18.6312,28,07/01/2020,06/30/2023
SACRED HEART HOSPITAL,100025,FL,READM-30-CABG-HRRP,N/A,,1.0013,11.9118,11.8961,Too Few to Report,07/01/2020,06/30/2023
SACRED HEART HOSPITAL,100025,FL,READM-30-AMI-HRRP,295,,1.0126,13.6956,13.5255,41,07/01/2020,06/30/2023
ASCENSION SACRED HEART BAY,100026,FL,READM-30-PN-HRRP,344,,0.9455,15.3383,16.2219,49,07/01/2020,06/30/2023
ASCENSION SACRED HEART BAY,100026,FL,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ASCENSION SACRED HEART BAY,100026,FL,READM-30-HF-HRRP,383,,0.9221,17.9204,19.4334,63,07/01/2020,06/30/2023
ASCENSION SACRED HEART BAY,100026,FL,READM-30-COPD-HRRP,97,,1.0081,18.0491,17.9043,18,07/01/2020,06/30/2023
ASCENSION SACRED HEART BAY,100026,FL,READM-30-CABG-HRRP,111,,0.9926,10.1289,10.2044,11,07/01/2020,06/30/2023
ASCENSION SACRED HEART BAY,100026,FL,READM-30-AMI-HRRP,218,,0.9817,11.8641,12.0857,25,07/01/2020,06/30/2023
PARRISH MEDICAL CENTER,100028,FL,READM-30-PN-HRRP,241,,0.8520,13.5484,15.9015,22,07/01/2020,06/30/2023
PARRISH MEDICAL CENTER,100028,FL,READM-30-HIP-KNEE-HRRP,N/A,,1.0357,5.3016,5.1189,Too Few to Report,07/01/2020,06/30/2023
PARRISH MEDICAL CENTER,100028,FL,READM-30-HF-HRRP,219,,1.0186,19.0466,18.6991,43,07/01/2020,06/30/2023
PARRISH MEDICAL CENTER,100028,FL,READM-30-COPD-HRRP,94,,1.0169,18.0551,17.7544,18,07/01/2020,06/30/2023
PARRISH MEDICAL CENTER,100028,FL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
PARRISH MEDICAL CENTER,100028,FL,READM-30-AMI-HRRP,N/A,,0.9864,13.1467,13.3280,Too Few to Report,07/01/2020,06/30/2023
STEWARD NORTH SHORE MEDICAL CENTER,100029,FL,READM-30-PN-HRRP,258,,1.0174,19.2933,18.9639,51,07/01/2020,06/30/2023
STEWARD NORTH SHORE MEDICAL CENTER,100029,FL,READM-30-HIP-KNEE-HRRP,N/A,,0.9843,4.5884,4.6614,Too Few to Report,07/01/2020,06/30/2023
STEWARD NORTH SHORE MEDICAL CENTER,100029,FL,READM-30-HF-HRRP,172,,1.0549,23.8598,22.6186,45,07/01/2020,06/30/2023
STEWARD NORTH SHORE MEDICAL CENTER,100029,FL,READM-30-COPD-HRRP,70,,0.9809,18.8862,19.2535,12,07/01/2020,06/30/2023
STEWARD NORTH SHORE MEDICAL CENTER,100029,FL,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
STEWARD NORTH SHORE MEDICAL CENTER,100029,FL,READM-30-AMI-HRRP,61,,1.0756,18.4398,17.1440,15,07/01/2020,06/30/2023
ORLANDO HEALTH-HEALTH CENTRAL HOSPITAL,100030,FL,READM-30-PN-HRRP,263,,0.9197,15.0795,16.3963,34,07/01/2020,06/30/2023
ORLANDO HEALTH-HEALTH CENTRAL HOSPITAL,100030,FL,READM-30-HIP-KNEE-HRRP,N/A,,1.1732,5.3600,4.5689,Too Few to Report,07/01/2020,06/30/2023
ORLANDO HEALTH-HEALTH CENTRAL HOSPITAL,100030,FL,READM-30-HF-HRRP,417,,1.0460,20.5768,19.6717,89,07/01/2020,06/30/2023
ORLANDO HEALTH-HEALTH CENTRAL HOSPITAL,100030,FL,READM-30-COPD-HRRP,82,,1.0916,21.1848,19.4065,23,07/01/2020,06/30/2023
ORLANDO HEALTH-HEALTH CENTRAL HOSPITAL,100030,FL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ORLANDO HEALTH-HEALTH CENTRAL HOSPITAL,100030,FL,READM-30-AMI-HRRP,112,,1.0787,15.4400,14.3130,21,07/01/2020,06/30/2023
ORLANDO HEALTH BAYFRONT HOSPITAL,100032,FL,READM-30-PN-HRRP,153,,0.9656,15.9358,16.5028,22,07/01/2020,06/30/2023
ORLANDO HEALTH BAYFRONT HOSPITAL,100032,FL,READM-30-HIP-KNEE-HRRP,N/A,,1.0089,5.3796,5.3320,Too Few to Report,07/01/2020,06/30/2023
ORLANDO HEALTH BAYFRONT HOSPITAL,100032,FL,READM-30-HF-HRRP,143,,1.0047,20.0444,19.9497,29,07/01/2020,06/30/2023
ORLANDO HEALTH BAYFRONT HOSPITAL,100032,FL,READM-30-COPD-HRRP,56,,1.0537,20.8077,19.7468,15,07/01/2020,06/30/2023
ORLANDO HEALTH BAYFRONT HOSPITAL,100032,FL,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ORLANDO HEALTH BAYFRONT HOSPITAL,100032,FL,READM-30-AMI-HRRP,N/A,,0.9929,14.1383,14.2398,Too Few to Report,07/01/2020,06/30/2023
"MOUNT SINAI MEDICAL CENTER OF FLORIDA, INC",100034,FL,READM-30-PN-HRRP,189,,1.0505,17.2637,16.4335,36,07/01/2020,06/30/2023
"MOUNT SINAI MEDICAL CENTER OF FLORIDA, INC",100034,FL,READM-30-HIP-KNEE-HRRP,N/A,,1.0963,5.6885,5.1890,Too Few to Report,07/01/2020,06/30/2023
"MOUNT SINAI MEDICAL CENTER OF FLORIDA, INC",100034,FL,READM-30-HF-HRRP,261,,0.9893,20.6013,20.8247,53,07/01/2020,06/30/2023
"MOUNT SINAI MEDICAL CENTER OF FLORIDA, INC",100034,FL,READM-30-COPD-HRRP,N/A,,0.9159,16.2454,17.7376,Too Few to Report,07/01/2020,06/30/2023
"MOUNT SINAI MEDICAL CENTER OF FLORIDA, INC",100034,FL,READM-30-CABG-HRRP,N/A,,1.0508,13.3887,12.7411,Too Few to Report,07/01/2020,06/30/2023
"MOUNT SINAI MEDICAL CENTER OF FLORIDA, INC",100034,FL,READM-30-AMI-HRRP,132,,1.0544,16.2119,15.3761,24,07/01/2020,06/30/2023
MANATEE MEMORIAL HOSPITAL,100035,FL,READM-30-PN-HRRP,334,,0.9923,16.3254,16.4526,54,07/01/2020,06/30/2023
MANATEE MEMORIAL HOSPITAL,100035,FL,READM-30-HIP-KNEE-HRRP,N/A,,0.9761,5.2568,5.3853,Too Few to Report,07/01/2020,06/30/2023
MANATEE MEMORIAL HOSPITAL,100035,FL,READM-30-HF-HRRP,402,,0.9814,20.4821,20.8695,81,07/01/2020,06/30/2023
MANATEE MEMORIAL HOSPITAL,100035,FL,READM-30-COPD-HRRP,217,,0.9477,18.6026,19.6284,37,07/01/2020,06/30/2023
MANATEE MEMORIAL HOSPITAL,100035,FL,READM-30-CABG-HRRP,N/A,,1.0785,11.0503,10.2457,Too Few to Report,07/01/2020,06/30/2023
MANATEE MEMORIAL HOSPITAL,100035,FL,READM-30-AMI-HRRP,213,,1.0090,13.8832,13.7588,30,07/01/2020,06/30/2023
MEMORIAL REGIONAL HOSPITAL,100038,FL,READM-30-PN-HRRP,356,,1.0637,17.0799,16.0570,65,07/01/2020,06/30/2023
MEMORIAL REGIONAL HOSPITAL,100038,FL,READM-30-HIP-KNEE-HRRP,N/A,,1.1730,7.0950,6.0486,Too Few to Report,07/01/2020,06/30/2023
MEMORIAL REGIONAL HOSPITAL,100038,FL,READM-30-HF-HRRP,431,,1.0362,21.2207,20.4796,94,07/01/2020,06/30/2023
MEMORIAL REGIONAL HOSPITAL,100038,FL,READM-30-COPD-HRRP,106,,1.0291,19.9933,19.4277,23,07/01/2020,06/30/2023
MEMORIAL REGIONAL HOSPITAL,100038,FL,READM-30-CABG-HRRP,83,,1.0309,13.1898,12.7943,12,07/01/2020,06/30/2023
MEMORIAL REGIONAL HOSPITAL,100038,FL,READM-30-AMI-HRRP,170,,1.0365,14.8643,14.3409,27,07/01/2020,06/30/2023
BROWARD HEALTH MEDICAL CENTER,100039,FL,READM-30-PN-HRRP,169,,0.9812,16.1496,16.4585,26,07/01/2020,06/30/2023
BROWARD HEALTH MEDICAL CENTER,100039,FL,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
BROWARD HEALTH MEDICAL CENTER,100039,FL,READM-30-HF-HRRP,194,,1.0243,20.7618,20.2699,42,07/01/2020,06/30/2023
BROWARD HEALTH MEDICAL CENTER,100039,FL,READM-30-COPD-HRRP,70,,1.0004,15.6805,15.6742,11,07/01/2020,06/30/2023
BROWARD HEALTH MEDICAL CENTER,100039,FL,READM-30-CABG-HRRP,N/A,,1.0024,11.1459,11.1195,Too Few to Report,07/01/2020,06/30/2023
BROWARD HEALTH MEDICAL CENTER,100039,FL,READM-30-AMI-HRRP,136,,1.0264,13.7926,13.4377,20,07/01/2020,06/30/2023
ASCENSION ST VINCENT'S RIVERSIDE,100040,FL,READM-30-PN-HRRP,574,,1.0151,17.9377,17.6716,104,07/01/2020,06/30/2023
ASCENSION ST VINCENT'S RIVERSIDE,100040,FL,READM-30-HIP-KNEE-HRRP,N/A,,0.8996,5.0770,5.6438,Too Few to Report,07/01/2020,06/30/2023
ASCENSION ST VINCENT'S RIVERSIDE,100040,FL,READM-30-HF-HRRP,561,,1.0254,20.3613,19.8578,116,07/01/2020,06/30/2023
ASCENSION ST VINCENT'S RIVERSIDE,100040,FL,READM-30-COPD-HRRP,154,,1.1657,22.2324,19.0725,44,07/01/2020,06/30/2023
ASCENSION ST VINCENT'S RIVERSIDE,100040,FL,READM-30-CABG-HRRP,247,,1.0819,11.4925,10.6226,31,07/01/2020,06/30/2023
ASCENSION ST VINCENT'S RIVERSIDE,100040,FL,READM-30-AMI-HRRP,356,,1.1443,17.7686,15.5286,70,07/01/2020,06/30/2023
MEASE DUNEDIN HOSPITAL,100043,FL,READM-30-PN-HRRP,176,,0.9605,15.1753,15.7986,24,07/01/2020,06/30/2023
MEASE DUNEDIN HOSPITAL,100043,FL,READM-30-HIP-KNEE-HRRP,N/A,,0.9361,6.6749,7.1306,Too Few to Report,07/01/2020,06/30/2023
MEASE DUNEDIN HOSPITAL,100043,FL,READM-30-HF-HRRP,151,,0.9574,19.2527,20.1086,26,07/01/2020,06/30/2023
MEASE DUNEDIN HOSPITAL,100043,FL,READM-30-COPD-HRRP,55,,1.0281,18.7218,18.2100,12,07/01/2020,06/30/2023
MEASE DUNEDIN HOSPITAL,100043,FL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MEASE DUNEDIN HOSPITAL,100043,FL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CLEVELAND CLINIC MARTIN NORTH HOSPITAL,100044,FL,READM-30-PN-HRRP,1495,,1.0239,15.7467,15.3791,237,07/01/2020,06/30/2023
CLEVELAND CLINIC MARTIN NORTH HOSPITAL,100044,FL,READM-30-HIP-KNEE-HRRP,N/A,,1.1804,6.5312,5.5329,Too Few to Report,07/01/2020,06/30/2023
CLEVELAND CLINIC MARTIN NORTH HOSPITAL,100044,FL,READM-30-HF-HRRP,1315,,1.0294,19.4654,18.9095,258,07/01/2020,06/30/2023
CLEVELAND CLINIC MARTIN NORTH HOSPITAL,100044,FL,READM-30-COPD-HRRP,415,,1.1629,19.2145,16.5224,89,07/01/2020,06/30/2023
CLEVELAND CLINIC MARTIN NORTH HOSPITAL,100044,FL,READM-30-CABG-HRRP,168,,0.9271,8.5887,9.2640,12,07/01/2020,06/30/2023
CLEVELAND CLINIC MARTIN NORTH HOSPITAL,100044,FL,READM-30-AMI-HRRP,501,,1.0575,13.0430,12.3333,68,07/01/2020,06/30/2023
ADVENTHEALTH DELAND,100045,FL,READM-30-PN-HRRP,304,,1.0207,16.6455,16.3079,52,07/01/2020,06/30/2023
ADVENTHEALTH DELAND,100045,FL,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ADVENTHEALTH DELAND,100045,FL,READM-30-HF-HRRP,326,,0.9604,18.9670,19.7490,59,07/01/2020,06/30/2023
ADVENTHEALTH DELAND,100045,FL,READM-30-COPD-HRRP,125,,1.0208,18.9839,18.5964,25,07/01/2020,06/30/2023
ADVENTHEALTH DELAND,100045,FL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ADVENTHEALTH DELAND,100045,FL,READM-30-AMI-HRRP,83,,1.0035,13.0532,13.0073,11,07/01/2020,06/30/2023
FLORIDA HOSPITAL ZEPHYRHILLS,100046,FL,READM-30-PN-HRRP,279,,0.9434,16.4818,17.4709,42,07/01/2020,06/30/2023
FLORIDA HOSPITAL ZEPHYRHILLS,100046,FL,READM-30-HIP-KNEE-HRRP,N/A,,0.9517,6.0983,6.4078,Too Few to Report,07/01/2020,06/30/2023
FLORIDA HOSPITAL ZEPHYRHILLS,100046,FL,READM-30-HF-HRRP,380,,1.0054,21.4771,21.3617,82,07/01/2020,06/30/2023
FLORIDA HOSPITAL ZEPHYRHILLS,100046,FL,READM-30-COPD-HRRP,96,,0.9282,18.3572,19.7772,13,07/01/2020,06/30/2023
FLORIDA HOSPITAL ZEPHYRHILLS,100046,FL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
FLORIDA HOSPITAL ZEPHYRHILLS,100046,FL,READM-30-AMI-HRRP,148,,0.9449,15.3871,16.2842,20,07/01/2020,06/30/2023
SHOREPOINT HEALTH PUNTA GORDA,100047,FL,READM-30-PN-HRRP,245,,1.1166,18.9241,16.9481,54,07/01/2020,06/30/2023
SHOREPOINT HEALTH PUNTA GORDA,100047,FL,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
